Date,Open,High,Low,Close,%Change
10/28/2013,175.889999,176.470001,175.699997,176.229996,0%
10/29/2013,176.630005,177.240005,176.380005,177.169998,0.533%
10/30/2013,177.380005,177.509995,175.660004,176.289993,-0.497%
10/31/2013,176.149994,176.889999,175.529999,175.789993,-0.284%
11/1/2013,176.020004,176.610001,175.220001,176.210007,0.239%
11/4/2013,176.690002,176.899994,175.979996,176.830002,0.352%
11/5/2013,176.139999,176.75,175.570007,176.270004,-0.317%
11/6/2013,177.029999,177.5,176.539993,177.169998,0.511%
11/7/2013,177.5,177.639999,174.759995,174.929993,-1.264%
11/8/2013,174.869995,177.309998,174.850006,177.289993,1.349%
11/11/2013,177.119995,177.529999,176.910004,177.320007,0.017%
11/12/2013,176.940002,177.360001,176.369995,176.960007,-0.203%
11/13/2013,176.089996,178.429993,176.089996,178.380005,0.802%
11/14/2013,178.539993,179.419998,178.25,179.270004,0.499%
11/15/2013,179.559998,180.119995,179.330002,180.050003,0.435%
11/18/2013,180.350006,180.5,179.020004,179.419998,-0.350%
11/19/2013,179.330002,179.869995,178.720001,179.029999,-0.217%
11/20/2013,179.389999,179.929993,177.979996,178.470001,-0.313%
11/21/2013,178.970001,180.050003,178.860001,179.910004,0.807%
11/22/2013,179.979996,180.830002,179.770004,180.809998,0.500%
11/25/2013,181.130005,181.169998,180.369995,180.630005,-0.100%
11/26/2013,180.720001,181.220001,180.410004,180.679993,0.028%
11/27/2013,180.869995,181.240005,180.649994,181.119995,0.244%
11/29/2013,181.320007,181.75,180.800003,181,-0.066%
12/2/2013,181.089996,181.429993,180.25,180.529999,-0.260%
12/3/2013,179.940002,180.389999,179.169998,179.75,-0.432%
12/4/2013,179.100006,180.479996,178.350006,179.729996,-0.011%
12/5/2013,179.410004,179.740005,178.770004,178.940002,-0.440%
12/6/2013,180.669998,181.110001,180.149994,180.940002,1.118%
12/9/2013,181.470001,181.669998,181.160004,181.399994,0.254%
12/10/2013,180.979996,181.360001,180.639999,180.75,-0.358%
12/11/2013,180.820007,180.850006,178.5,178.720001,-1.123%
12/12/2013,178.639999,178.860001,177.759995,178.130005,-0.330%
12/13/2013,178.5,178.660004,177.770004,178.110001,-0.011%
12/16/2013,178.949997,179.809998,178.899994,179.220001,0.623%
12/17/2013,179.380005,179.410004,178.25,178.649994,-0.318%
12/18/2013,178.919998,181.729996,177.320007,181.699997,1.707%
12/19/2013,181.179993,181.699997,180.710007,181.490005,-0.116%
12/20/2013,180.690002,181.990005,180.570007,181.559998,0.039%
12/23/2013,182.449997,182.639999,182.070007,182.529999,0.534%
12/24/2013,182.539993,183.009995,182.529999,182.929993,0.219%
12/26/2013,183.339996,183.960007,183.320007,183.860001,0.508%
12/27/2013,184.100006,184.179993,183.660004,183.850006,-0.005%
12/30/2013,183.869995,184.020004,183.580002,183.820007,-0.016%
12/31/2013,184.070007,184.690002,183.929993,184.690002,0.473%
1/2/2014,183.979996,184.070007,182.479996,182.919998,-0.958%
1/3/2014,183.229996,183.600006,182.630005,182.889999,-0.016%
1/6/2014,183.490005,183.559998,182.080002,182.360001,-0.290%
1/7/2014,183.089996,183.789993,182.949997,183.479996,0.614%
1/8/2014,183.449997,183.830002,182.889999,183.520004,0.022%
1/9/2014,184.110001,184.130005,182.800003,183.639999,0.065%
1/10/2014,183.949997,184.220001,183.009995,184.139999,0.272%
1/13/2014,183.669998,184.179993,181.339996,181.690002,-1.331%
1/14/2014,182.289993,183.770004,181.949997,183.669998,1.090%
1/15/2014,184.100006,184.940002,183.710007,184.660004,0.539%
1/16/2014,184.279999,184.660004,183.830002,184.419998,-0.130%
1/17/2014,184.100006,184.449997,183.320007,183.639999,-0.423%
1/21/2014,184.699997,184.770004,183.050003,184.179993,0.294%
1/22/2014,184.490005,184.570007,183.910004,184.300003,0.065%
1/23/2014,183.369995,183.399994,181.820007,182.789993,-0.819%
1/24/2014,181.600006,181.660004,178.830002,178.889999,-2.134%
1/27/2014,179.059998,179.520004,177.119995,178.009995,-0.492%
1/28/2014,178.139999,179.300003,178.119995,179.070007,0.595%
1/29/2014,177.580002,178.550003,176.880005,177.350006,-0.961%
1/30/2014,178.830002,179.809998,178.259995,179.229996,1.060%
1/31/2014,177.009995,179.289993,176.919998,178.179993,-0.586%
2/3/2014,177.970001,178.369995,173.830002,174.169998,-2.251%
2/4/2014,174.949997,175.839996,174.110001,175.389999,0.700%
2/5/2014,174.779999,175.559998,173.710007,175.169998,-0.125%
2/6/2014,175.580002,177.479996,175.220001,177.479996,1.319%
2/7/2014,178.309998,179.869995,177.729996,179.679993,1.240%
2/10/2014,179.699997,180.070007,179.210007,180.009995,0.184%
2/11/2014,180.160004,182.440002,180.039993,181.979996,1.094%
2/12/2014,182.25,182.830002,181.710007,182.070007,0.049%
2/13/2014,180.839996,183.199997,180.830002,183.009995,0.516%
2/14/2014,182.839996,184.360001,182.669998,184.020004,0.552%
2/18/2014,184.179993,184.490005,183.649994,184.240005,0.120%
2/19/2014,183.759995,184.949997,182.869995,183.020004,-0.662%
2/20/2014,183.270004,184.520004,182.600006,184.100006,0.590%
2/21/2014,184.449997,184.889999,183.800003,183.889999,-0.114%
2/24/2014,184.279999,186.149994,184.199997,184.910004,0.555%
2/25/2014,185.059998,185.589996,184.229996,184.839996,-0.038%
2/26/2014,185.110001,185.600006,184.330002,184.850006,0.005%
2/27/2014,184.580002,185.869995,184.369995,185.820007,0.525%
2/28/2014,185.789993,187.149994,185.050003,186.289993,0.253%
3/3/2014,184.649994,185.449997,183.75,184.979996,-0.703%
3/4/2014,186.789993,187.979996,186.75,187.580002,1.406%
3/5/2014,187.740005,188.070007,187.449997,187.75,0.091%
3/6/2014,188.210007,188.610001,187.779999,188.179993,0.229%
3/7/2014,188.960007,188.960007,187.429993,188.259995,0.043%
3/10/2014,187.970001,188.229996,187.080002,188.160004,-0.053%
3/11/2014,188.440002,188.710007,186.800003,187.229996,-0.494%
3/12/2014,186.320007,187.350006,185.899994,187.279999,0.027%
3/13/2014,187.839996,187.990005,184.660004,185.179993,-1.121%
3/14/2014,184.850006,185.800003,184.440002,184.660004,-0.281%
3/17/2014,185.589996,186.770004,185.509995,186.330002,0.904%
3/18/2014,186.710007,187.910004,186.509995,187.660004,0.714%
3/19/2014,187.679993,187.940002,185.470001,186.660004,-0.533%
3/20/2014,186.25,187.889999,185.919998,187.75,0.584%
3/21/2014,187.710007,189.020004,186.029999,186.199997,-0.826%
3/24/2014,186.839996,187.070007,184.619995,185.429993,-0.414%
3/25/2014,186.369995,186.940002,185.270004,186.309998,0.475%
3/26/2014,187.039993,187.339996,184.919998,184.970001,-0.719%
3/27/2014,184.75,185.339996,183.899994,184.580002,-0.211%
3/28/2014,185.110001,186.419998,185,185.490005,0.493%
3/31/2014,186.669998,187.300003,185.520004,187.009995,0.819%
4/1/2014,187.619995,188.360001,187,188.25,0.663%
4/2/2014,188.490005,189.130005,188.139999,188.880005,0.335%
4/3/2014,189.169998,189.220001,188.050003,188.630005,-0.132%
4/4/2014,189.660004,189.699997,186.100006,186.399994,-1.182%
4/7/2014,185.949997,186.259995,183.960007,184.339996,-1.105%
4/8/2014,184.259995,185.399994,183.589996,185.100006,0.412%
4/9/2014,185.600006,187.149994,185.059998,187.089996,1.075%
4/10/2014,187.080002,187.169998,182.929993,183.160004,-2.101%
4/11/2014,182.139999,183.419998,181.309998,181.509995,-0.901%
4/14/2014,182.929993,183.369995,181.440002,182.940002,0.788%
4/15/2014,183.320007,184.330002,181.509995,184.199997,0.689%
4/16/2014,185.470001,186.139999,184.649994,186.130005,1.048%
4/17/2014,185.880005,186.910004,185.559998,186.389999,0.140%
4/21/2014,186.440002,187.100006,186.210007,187.039993,0.349%
4/22/2014,187.229996,188.399994,187.130005,187.889999,0.454%
4/23/2014,187.820007,187.919998,187.300003,187.449997,-0.234%
4/24/2014,188.369995,188.389999,186.929993,187.830002,0.203%
4/25/2014,187.220001,187.330002,185.869995,186.289993,-0.820%
4/28/2014,187.050003,187.690002,184.960007,186.880005,0.317%
4/29/2014,187.479996,188.039993,187.080002,187.75,0.466%
4/30/2014,187.440002,188.5,187.179993,188.309998,0.298%
5/1/2014,188.220001,188.839996,187.729996,188.330002,0.011%
5/2/2014,188.309998,189.139999,187.779999,188.059998,-0.143%
5/5/2014,187.139999,188.550003,186.619995,188.419998,0.191%
5/6/2014,188,188.130005,186.740005,186.779999,-0.870%
5/7/2014,187.410004,187.970001,186.009995,187.880005,0.589%
5/8/2014,187.710007,189.050003,187.080002,187.679993,-0.106%
5/9/2014,187.710007,188.039993,186.830002,187.960007,0.149%
5/12/2014,188.800003,189.880005,188,189.789993,0.974%
5/13/2014,190.039993,190.419998,189.770004,189.960007,0.090%
5/14/2014,189.789993,189.880005,188.789993,189.059998,-0.474%
5/15/2014,188.679993,188.720001,186.479996,187.399994,-0.878%
5/16/2014,187.509995,188.130005,186.720001,188.050003,0.347%
5/19/2014,187.690002,188.889999,187.520004,188.740005,0.367%
5/20/2014,188.649994,188.669998,187.070007,187.550003,-0.630%
5/21/2014,188.089996,189.220001,188.059998,189.130005,0.842%
5/22/2014,189.179993,189.979996,188.860001,189.589996,0.243%
5/23/2014,189.759995,190.479996,189.589996,190.350006,0.401%
5/27/2014,191.059998,191.580002,190.949997,191.520004,0.615%
5/28/2014,191.520004,191.820007,191.059998,191.380005,-0.073%
5/29/2014,191.820007,192.399994,191.330002,192.369995,0.517%
5/30/2014,192.190002,192.800003,192.029999,192.679993,0.161%
6/2/2014,192.949997,192.990005,191.970001,192.899994,0.114%
6/3/2014,192.429993,192.899994,192.25,192.800003,-0.052%
6/4/2014,192.470001,193.300003,192.270004,193.190002,0.202%
6/5/2014,193.410004,194.649994,192.699997,194.449997,0.652%
6/6/2014,194.869995,195.429993,194.779999,195.380005,0.478%
6/9/2014,195.350006,196.050003,195.169998,195.580002,0.102%
6/10/2014,195.339996,195.639999,194.919998,195.600006,0.010%
6/11/2014,194.899994,195.119995,194.479996,194.919998,-0.348%
6/12/2014,194.690002,194.800003,193.110001,193.539993,-0.708%
6/13/2014,193.919998,194.320007,193.300003,194.130005,0.305%
6/16/2014,193.889999,194.699997,193.660004,194.289993,0.082%
6/17/2014,194.020004,194.970001,193.809998,194.830002,0.278%
6/18/2014,194.830002,196.369995,194.399994,196.259995,0.734%
6/19/2014,196.429993,196.600006,195.800003,196.479996,0.112%
6/20/2014,196.029999,196.100006,195.699997,195.940002,-0.275%
6/23/2014,195.990005,196.050003,195.520004,195.880005,-0.031%
6/24/2014,195.529999,196.5,194.479996,194.699997,-0.602%
6/25/2014,194.289993,195.779999,194.25,195.580002,0.452%
6/26/2014,195.610001,195.630005,194.130005,195.440002,-0.072%
6/27/2014,194.979996,195.880005,194.889999,195.820007,0.194%
6/30/2014,195.699997,196.169998,195.529999,195.720001,-0.051%
7/1/2014,196.199997,197.630005,196.130005,197.029999,0.669%
7/2/2014,197.050003,197.479996,196.960007,197.229996,0.102%
7/3/2014,197.789993,198.289993,197.639999,198.199997,0.492%
7/7/2014,197.820007,197.979996,197.220001,197.509995,-0.348%
7/8/2014,197.149994,197.220001,195.759995,196.240005,-0.643%
7/9/2014,196.729996,197.300003,196.309998,197.119995,0.448%
7/10/2014,195.220001,196.860001,195.059998,196.339996,-0.396%
7/11/2014,196.220001,196.75,195.779999,196.610001,0.138%
7/14/2014,197.610001,197.860001,197.440002,197.600006,0.504%
7/15/2014,197.720001,198.100006,196.360001,197.229996,-0.187%
7/16/2014,198.110001,198.259995,197.419998,197.960007,0.370%
7/17/2014,197.350006,198.100006,195.429993,195.710007,-1.137%
7/18/2014,196.350006,197.910004,196.240005,197.710007,1.022%
7/21/2014,197.089996,197.5,196.429993,197.339996,-0.187%
7/22/2014,198.009995,198.559998,197.869995,198.199997,0.436%
7/23/2014,198.5,198.850006,198.100006,198.639999,0.222%
7/24/2014,198.830002,199.059998,198.449997,198.649994,0.005%
7/25/2014,198.089996,198.259995,197.330002,197.720001,-0.468%
7/28/2014,197.759995,198.089996,196.619995,197.800003,0.040%
7/29/2014,198.169998,198.449997,196.919998,196.949997,-0.430%
7/30/2014,197.649994,197.910004,196.160004,196.979996,0.015%
7/31/2014,195.610001,195.779999,192.970001,193.089996,-1.975%
8/1/2014,192.559998,193.759995,191.570007,192.5,-0.306%
8/4/2014,192.869995,194.300003,192.050003,193.889999,0.722%
8/5/2014,193.100006,193.600006,191.309998,192.009995,-0.970%
8/6/2014,191.110001,192.889999,191.080002,192.070007,0.031%
8/7/2014,192.940002,193.130005,190.550003,191.029999,-0.541%
8/8/2014,191.460007,193.369995,190.949997,193.240005,1.157%
8/11/2014,193.970001,194.660004,193.710007,193.800003,0.290%
8/12/2014,193.610001,194.149994,192.940002,193.529999,-0.139%
8/13/2014,194.289993,195.059998,193.960007,194.839996,0.677%
8/14/2014,195.160004,195.759995,194.979996,195.759995,0.472%
8/15/2014,196.470001,196.649994,194.309998,195.720001,-0.020%
8/18/2014,196.800003,197.449997,196.690002,197.360001,0.838%
8/19/2014,197.839996,198.539993,197.440002,198.389999,0.522%
8/20/2014,198.119995,199.160004,198.080002,198.919998,0.267%
8/21/2014,199.089996,199.759995,198.929993,199.5,0.292%
8/22/2014,199.339996,199.690002,198.740005,199.190002,-0.155%
8/25/2014,200.139999,200.589996,199.149994,200.199997,0.507%
8/26/2014,200.330002,200.820007,200.279999,200.330002,0.065%
8/27/2014,200.429993,200.570007,199.940002,200.25,-0.040%
8/28/2014,199.589996,200.270004,199.389999,200.139999,-0.055%
8/29/2014,200.449997,200.729996,199.820007,200.710007,0.285%
9/2/2014,200.970001,201,199.860001,200.610001,-0.050%
9/3/2014,201.380005,201.410004,200.220001,200.5,-0.055%
9/4/2014,200.839996,201.580002,199.660004,200.210007,-0.145%
9/5/2014,200.169998,201.190002,199.410004,201.110001,0.450%
9/8/2014,200.919998,201.210007,200,200.589996,-0.259%
9/9/2014,200.410004,200.550003,198.910004,199.320007,-0.633%
9/10/2014,199.429993,200.199997,198.770004,200.070007,0.376%
9/11/2014,199.270004,200.330002,199.119995,200.300003,0.115%
9/12/2014,200.100006,200.119995,198.559998,199.130005,-0.584%
9/15/2014,199.160004,199.320007,198.380005,198.979996,-0.075%
9/16/2014,198.610001,200.839996,198.5,200.479996,0.754%
9/17/2014,200.770004,201.679993,199.75,200.75,0.135%
9/18/2014,201.360001,201.850006,201.100006,201.820007,0.533%
9/19/2014,201.520004,201.899994,200.289993,200.699997,-0.555%
9/22/2014,200.350006,200.380005,198.729996,199.149994,-0.772%
9/23/2014,198.429993,199.259995,197.949997,198.009995,-0.572%
9/24/2014,198.039993,199.690002,197.520004,199.559998,0.783%
9/25/2014,199.039993,199.050003,196.270004,196.339996,-1.614%
9/26/2014,196.699997,198.389999,196.419998,197.899994,0.795%
9/29/2014,196.199997,197.889999,196.050003,197.539993,-0.182%
9/30/2014,197.690002,198.300003,196.610001,197.020004,-0.263%
10/1/2014,196.699997,196.770004,193.910004,194.350006,-1.355%
10/2/2014,194.179993,195.059998,192.350006,194.380005,0.015%
10/3/2014,195.679993,196.940002,195.080002,196.520004,1.101%
10/6/2014,197.339996,197.600006,195.580002,196.289993,-0.117%
10/7/2014,195.279999,195.720001,193.220001,193.259995,-1.544%
10/8/2014,193.369995,196.919998,192.360001,196.639999,1.749%
10/9/2014,196.330002,196.600006,192.580002,192.740005,-1.983%
10/10/2014,192.690002,193.649994,190.490005,190.539993,-1.141%
10/13/2014,190.460007,191.149994,187.300003,187.410004,-1.643%
10/14/2014,188.419998,189.820007,187.039993,187.699997,0.155%
10/15/2014,185.160004,187.690002,181.919998,186.429993,-0.677%
10/16/2014,183.059998,187.580002,182.889999,186.270004,-0.086%
10/17/2014,188.419998,189.75,187.619995,188.470001,1.181%
10/20/2014,188.130005,190.449997,188.070007,190.300003,0.971%
10/21/2014,191.679993,194.199997,191.479996,194.070007,1.981%
10/22/2014,194.410004,194.910004,192.610001,192.690002,-0.711%
10/23/2014,194.619995,196.199997,194.259995,194.929993,1.162%
10/24/2014,195.25,196.490005,194.490005,196.429993,0.770%
10/27/2014,195.729996,196.449997,195.029999,196.160004,-0.137%
10/28/2014,196.820007,198.419998,196.729996,198.410004,1.147%
10/29/2014,198.550003,199.119995,196.800003,198.110001,-0.151%
10/30/2014,197.580002,199.949997,197.399994,199.380005,0.641%
10/31/2014,201.779999,201.820007,200.770004,201.660004,1.144%
11/3/2014,201.919998,202.449997,201.309998,201.770004,0.055%
11/4/2014,201.229996,201.600006,200.059998,201.070007,-0.347%
11/5/2014,202.539993,202.589996,201.449997,202.339996,0.632%
11/6/2014,202.389999,203.259995,201.639999,203.149994,0.400%
11/7/2014,203.169998,203.600006,202.610001,203.339996,0.094%
11/10/2014,203.380005,204.039993,203.130005,203.979996,0.315%
11/11/2014,204.059998,204.309998,203.649994,204.179993,0.098%
11/12/2014,203.350006,204.240005,203.309998,203.960007,-0.108%
11/13/2014,204.160004,204.830002,203.210007,204.190002,0.113%
11/14/2014,204.100006,204.490005,203.720001,204.240005,0.024%
11/17/2014,203.850006,204.580002,203.649994,204.369995,0.064%
11/18/2014,204.440002,205.919998,204.440002,205.550003,0.577%
11/19/2014,205.309998,205.550003,204.300003,205.220001,-0.161%
11/20/2014,204.259995,205.710007,204.179993,205.580002,0.175%
11/21/2014,207.639999,207.839996,205.979996,206.679993,0.535%
11/24/2014,207.169998,207.389999,206.910004,207.259995,0.281%
11/25/2014,207.539993,207.789993,206.800003,207.110001,-0.072%
11/26/2014,207.289993,207.759995,207.029999,207.639999,0.256%
11/28/2014,207.490005,207.869995,206.910004,207.199997,-0.212%
12/1/2014,206.399994,206.539993,205.380005,205.759995,-0.695%
12/2/2014,205.809998,207.339996,205.779999,207.089996,0.646%
12/3/2014,207.300003,208.149994,207.100006,207.889999,0.386%
12/4/2014,207.539993,208.270004,206.699997,207.660004,-0.111%
12/5/2014,207.869995,208.470001,207.550003,208,0.164%
12/8/2014,207.520004,208.119995,205.929993,206.610001,-0.668%
12/9/2014,204.369995,206.600006,203.910004,206.470001,-0.068%
12/10/2014,205.910004,205.979996,202.929993,203.160004,-1.603%
12/11/2014,203.880005,206.190002,203.710007,204.190002,0.507%
12/12/2014,202.639999,203.820007,200.850006,200.889999,-1.616%
12/15/2014,201.979996,202.529999,198.779999,199.509995,-0.687%
12/16/2014,198.580002,202.399994,197.860001,197.910004,-0.802%
12/17/2014,198.440002,202.339996,198.289993,201.789993,1.960%
12/18/2014,204.740005,212.970001,203.919998,206.779999,2.473%
12/19/2014,206.429993,207.330002,205.610001,206.520004,-0.126%
12/22/2014,206.75,207.470001,206.460007,207.470001,0.460%
12/23/2014,208.169998,208.229996,207.399994,207.75,0.135%
12/24/2014,208.020004,208.339996,207.720001,207.770004,0.010%
12/26/2014,208.309998,208.850006,208.25,208.440002,0.322%
12/29/2014,208.220001,208.970001,208.139999,208.720001,0.134%
12/30/2014,208.210007,208.369995,207.509995,207.600006,-0.537%
12/31/2014,207.990005,208.190002,205.389999,205.539993,-0.992%
1/2/2015,206.380005,206.880005,204.179993,205.429993,-0.054%
1/5/2015,204.169998,204.369995,201.350006,201.720001,-1.806%
1/6/2015,202.089996,202.720001,198.860001,199.820007,-0.942%
1/7/2015,201.419998,202.720001,200.880005,202.309998,1.246%
1/8/2015,204.009995,206.160004,203.990005,205.899994,1.775%
1/9/2015,206.399994,206.419998,203.509995,204.25,-0.801%
1/12/2015,204.410004,204.600006,201.919998,202.649994,-0.783%
1/13/2015,204.119995,205.479996,200.509995,202.080002,-0.281%
1/14/2015,199.649994,201.100006,198.570007,200.860001,-0.604%
1/15/2015,201.630005,202.009995,198.880005,199.020004,-0.916%
1/16/2015,198.770004,201.820007,198.550003,201.630005,1.311%
1/20/2015,202.399994,202.720001,200.169998,202.059998,0.213%
1/21/2015,201.5,203.660004,200.940002,203.080002,0.505%
1/22/2015,203.990005,206.259995,202.330002,206.100006,1.487%
1/23/2015,205.789993,206.100006,204.809998,204.970001,-0.548%
