,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil.),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income
12/29/2018,84310000000,-0.0451,52279000000,32031000000,3902000000,4783000000,8685000000,23346000000,0,23906000000,3941000000,0,0,19965000000,0,19965000000,4.22,4.18,4735820000,4773252000,0.73,0.3799,0.324,0.2835,0.237,0.2768,27301000000,23906000000,19965000000
9/29/2018,62900000000,0.1963,38816000000,24084000000,3750000000,4216000000,7966000000,16118000000,0,16421000000,2296000000,0,0,14125000000,0,14125000000,2.94,2.92,4801588000,4847547000,0.73,0.3829,0.305,0.2611,0.225,0.262,19175000000,16421000000,14125000000
6/30/2018,53265000000,0.173,32844000000,20421000000,3701000000,4108000000,7809000000,12612000000,0,13284000000,1765000000,0,0,11519000000,0,11519000000,2.36,2.34,4882167000,4926609000,0.73,0.3834,0.299,0.2494,0.216,0.2107,15949000000,13284000000,11519000000
3/31/2018,61137000000,0.1558,37715000000,23422000000,3378000000,4150000000,7528000000,15894000000,0,16168000000,2346000000,0,0,13822000000,0,13822000000,2.75,2.73,5024877000,5068493000,0.63,0.3831,0.309,0.2645,0.226,0.1814,18907000000,16168000000,13822000000
12/30/2017,88293000000,0.1269,54381000000,33912000000,3407000000,4231000000,7638000000,26274000000,0,27030000000,6965000000,0,0,20065000000,0,20065000000,3.92,3.89,5112877000,5157787000,0.63,0.3841,0.337,0.3061,0.227,0.2886,29775000000,27030000000,20065000000
9/30/2017,52579000000,0.1222,32648000000,19931000000,2997000000,3814000000,6811000000,13120000000,0,13917000000,3203000000,0,0,10714000000,0,10714000000,2.09,2.07,5149427000,5183586000,0.63,0.3791,0.312,0.2647,0.204,0.226,16401000000,13917000000,10714000000
7/1/2017,45408000000,0.072,27920000000,17488000000,2937000000,3783000000,6720000000,10768000000,0,11308000000,2591000000,0,0,8717000000,0,8717000000,1.68,1.67,5195088000,5233499000,0.63,0.3851,0.301,0.249,0.192,0.1408,13662000000,11308000000,8717000000
4/1/2017,52896000000,0.0463,32305000000,20591000000,2776000000,3718000000,6494000000,14097000000,0,14684000000,3655000000,0,0,11029000000,0,11029000000,2.11,2.1,5225791000,5261688000,0.57,0.3893,0.322,0.2776,0.209,0.183,17016000000,14684000000,11029000000
12/31/2016,78351000000,0.0327,48175000000,30176000000,2871000000,3946000000,6817000000,23359000000,0,24180000000,6289000000,0,0,17891000000,0,17891000000,3.38,3.36,5298661000,5327995000,0.57,0.3851,0.347,0.3086,0.228,0.3039,27167000000,24180000000,17891000000
9/24/2016,46852000000,-0.0903,29039000000,17813000000,2570000000,3482000000,6052000000,11761000000,0,12188000000,3174000000,0,0,9014000000,0,9014000000,1.69,1.69,5366912000,5393331000,0.57,0.3802,0.315,0.2601,0.192,0.2841,14736000000,12188000000,9014000000
6/25/2016,42358000000,-0.1461,26252000000,16106000000,2560000000,3441000000,6001000000,10105000000,0,10469000000,2673000000,0,0,7796000000,0,7796000000,1.43,1.42,5443058000,5472781000,0.57,0.3802,0.307,0.2472,0.184,0.1825,12995000000,10469000000,7796000000
3/26/2016,50557000000,-0.1285,30636000000,19921000000,2511000000,3423000000,5934000000,13987000000,0,14142000000,3626000000,0,0,10516000000,0,10516000000,1.91,1.9,5514381000,5540886000,0.52,0.394,0.329,0.2797,0.208,0.1781,16619000000,14142000000,10516000000
12/26/2015,75872000000,0.0171,45449000000,30423000000,2404000000,3848000000,6252000000,24171000000,0,24573000000,6212000000,0,0,18361000000,0,18361000000,3.3,3.28,5558930000,5594127000,0.52,0.401,0.363,0.3239,0.242,0.3092,27527000000,24573000000,18361000000
9/26/2015,51501000000,0.2226,30953000000,20548000000,2220000000,3705000000,5925000000,14623000000,0,15062000000,3938000000,0,0,11124000000,0,11124000000,1.98,1.97,5646918000,5682516000,0.52,0.399,0.353,0.2925,0.216,0.1906,18181000000,15062000000,11124000000
6/27/2015,49605000000,0.3252,29924000000,19681000000,2034000000,3564000000,5598000000,14083000000,0,14473000000,3796000000,0,0,10677000000,0,10677000000,1.86,1.85,5729886000,5773099000,0.52,0.3968,0.354,0.2918,0.215,0.26,17557000000,14473000000,10677000000
3/28/2015,58010000000,0.2709,34354000000,23656000000,1918000000,3460000000,5378000000,18278000000,0,18564000000,4995000000,0,0,13569000000,0,13569000000,2.34,2.33,5793799000,5834858000,0.47,0.4078,0.363,0.32,0.234,0.2862,21043000000,18564000000,13569000000
12/27/2014,74599000000,0.2953,44858000000,29741000000,1895000000,3600000000,5495000000,24246000000,0,24416000000,6392000000,0,0,18024000000,0,18024000000,3.08,3.06,5843082000,5881803000,0.47,0.3987,0.362,0.3273,0.242,0.4083,26991000000,24416000000,18024000000
9/27/2014,42123000000,0.1241,26114000000,16009000000,1686000000,3158000000,4844000000,11165000000,0,11472000000,3005000000,0,0,8467000000,0,8467000000,1.43,1.42,5933847000,5972081000,0.47,0.3801,0.319,0.2723,0.201,0.2231,13441000000,11472000000,8467000000
6/28/2014,37432000000,0.0597,22697000000,14735000000,1603000000,2850000000,4453000000,10282000000,0,10484000000,2736000000,0,0,7748000000,0,7748000000,1.29,1.28,6012635000,6051711000,0.47,0.3936,0.332,0.2801,0.207,0.209,12430000000,10484000000,7748000000
3/29/2014,45646000000,0.0469,27699000000,17947000000,1422000000,2932000000,4354000000,13593000000,0,13818000000,3595000000,0,0,10223000000,0,10223000000,1.67,1.66,6123302000,6156699000,0.436,0.3932,0.344,0.3027,0.224,0.264,15705000000,13818000000,10223000000
12/28/2013,57594000000,0.0565,35748000000,21846000000,1330000000,3053000000,4383000000,17463000000,0,17709000000,4637000000,0,0,13072000000,0,13072000000,2.08,2.07,6272504000,6310161000,0.436,0.3793,0.345,0.3075,0.227,0.3581,19853000000,17709000000,13072000000
9/28/2013,37472000000,0.0419,23601000000,13871000000,1168000000,2673000000,3841000000,10030000000,0,10143000000,2631000000,0,0,7512000000,0,7512000000,1.2,1.19,6329138000,6363921000,0.436,0.3702,0.318,0.2707,0.2,0.2029,11926000000,10143000000,7512000000
6/29/2013,35323000000,0.0086,22299000000,13024000000,1178000000,2645000000,3823000000,9201000000,0,9435000000,2535000000,0,0,6900000000,0,6900000000,1.07,1.07,6430323000,6469854000,0.436,0.3687,0.315,0.2671,0.195,0.1645,11129000000,9435000000,6900000000
3/30/2013,43603000000,0.1127,27254000000,16349000000,1119000000,2672000000,3791000000,12558000000,0,12905000000,3358000000,0,0,9547000000,0,9547000000,1.451,1.441,6577403000,6622245000,0.379,0.375,0.335,0.296,0.219,0.234,14597000000,12905000000,9547000000
12/29/2012,54512000000,0.1765,33452000000,21060000000,1010000000,2840000000,3850000000,17210000000,0,17672000000,4594000000,0,0,13078000000,0,13078000000,1.99,1.973,6572412000,6630519000,0.379,0.3863,0.353,0.3242,0.24,0.3847,19260000000,17672000000,13078000000
9/29/2012,35966000000,0.2722,21565000000,14401000000,906000000,2551000000,3457000000,10944000000,0,10893000000,2670000000,0,0,8223000000,0,8223000000,1.253,1.241,6567792000,6636692000,0.379,0.4004,0.33,0.3029,0.229,0.1567,11874000000,10893000000,8223000000
6/30/2012,35023000000,0.2258,20029000000,14994000000,876000000,2545000000,3421000000,11573000000,0,11861000000,3037000000,0,0,8824000000,0,8824000000,1.346,1.331,6556172000,6629413000,0,0.4281,0.363,0.3387,0.252,0.2063,12696000000,11861000000,8824000000
3/31/2012,39186000000,0.5886,20622000000,18564000000,841000000,2339000000,3180000000,15384000000,0,15532000000,3910000000,0,0,11622000000,0,11622000000,1.779,1.757,6535074000,6614251000,0,0.4737,0.415,0.3964,0.297,0.3182,16272000000,15532000000,11622000000
12/31/2011,46333000000,0.7327,25630000000,20703000000,758000000,2605000000,3363000000,17340000000,0,17477000000,4413000000,0,0,13064000000,0,13064000000,2.004,1.981,6517287000,6591004000,0,0.4468,0.393,0.3772,0.282,0.348,18198000000,17477000000,13064000000
9/24/2011,28270000000,0.3897,16890000000,11380000000,645000000,2025000000,2670000000,8710000000,0,8791000000,2168000000,0,0,6623000000,0,6623000000,1.02,1.007,6497967000,6576612000,0,0.4025,0.33,0.311,0.234,0.2072,9334000000,8791000000,6623000000
6/25/2011,28571000000,0.8198,16649000000,11922000000,628000000,1915000000,2543000000,9379000000,0,9551000000,2243000000,0,0,7308000000,0,7308000000,1.127,1.113,6482756000,6564670000,0,0.4173,0.351,0.3343,0.256,0.3551,10032000000,9551000000,7308000000
3/26/2011,24667000000,0.8273,14449000000,10218000000,581000000,1763000000,2344000000,7874000000,0,7900000000,1913000000,0,0,5987000000,0,5987000000,0.927,0.914,6462372000,6551608000,0,0.4142,0.338,0.3203,0.243,0.2255,8334000000,7900000000,5987000000
12/25/2010,26741000000,0.7051,16443000000,10298000000,575000000,1896000000,2471000000,7827000000,0,7963000000,1959000000,0,0,6004000000,0,6004000000,0.933,0.919,6435058000,6532078000,0,0.3851,0.311,0.2978,0.225,0.3182,8319000000,7963000000,6004000000
9/25/2010,20343000000,0.6665,12831000000,7512000000,494000000,1571000000,2065000000,5447000000,0,5461000000,1153000000,0,0,4308000000,0,4308000000,0.674,0.663,6401906000,6501775000,0,0.3693,0.285,0.2684,0.212,0.2394,5790000000,5461000000,4308000000
6/26/2010,15700000000,0.6129,9564000000,6136000000,464000000,1438000000,1902000000,4234000000,0,4292000000,1039000000,0,0,3253000000,0,3253000000,0.51,0.501,6385379000,6491527000,0,0.3908,0.291,0.2734,0.207,0.2659,4565000000,4292000000,3253000000
3/27/2010,13499000000,0.486,7874000000,5625000000,426000000,1220000000,1646000000,3979000000,0,4029000000,955000000,0,0,3074000000,0,3074000000,0.484,0.476,6352836000,6460146000,0,0.4167,0.314,0.2985,0.228,0.1503,4245000000,4029000000,3074000000
12/26/2009,15683000000,0.3201,9272000000,6411000000,398000000,1288000000,1686000000,4725000000,0,4758000000,1380000000,0,0,3378000000,0,3378000000,0.534,0.524,6324794000,6438481000,0,0.4088,0.317,0.3034,0.215,0.3443,4967000000,4758000000,3378000000
9/26/2009,12207000000,-0.0542,7102000000,5105000000,358000000,1063000000,1421000000,3684000000,0,3729000000,1197000000,0,0,2532000000,0,2532000000,0.403,0.397,6286203000,6400611000,0,0.4182,0.322,0.3055,0.207,0.2161,3932000000,3729000000,2532000000
6/27/2009,9734000000,0.3041,5751000000,3983000000,341000000,1010000000,1351000000,2632000000,0,2692000000,864000000,0,0,1828000000,0,1828000000,0.293,0.287,6255984000,6364120000,0,0.4092,0.295,0.2766,0.188,0.2022,2874000000,2692000000,1828000000
3/28/2009,9084000000,0.2093,5457000000,3627000000,319000000,985000000,1304000000,2323000000,0,2386000000,766000000,0,0,1620000000,0,1620000000,0.26,0.256,6238260000,6320951000,0,0.3993,0.283,0.2627,0.178,0.0816,2567000000,2386000000,1620000000
